OCC_CLS,SQFEET,PROP_ADDR,PROP_CITY,E
Residential,3362.378,771 NORTH 800 WEST,WEST BOUNTIFUL,
Commercial,146609.5,573 WEST 100 NORTH,WEST BOUNTIFUL,
Residential,3263.495,831 NORTH 1100 WEST,WEST BOUNTIFUL,
Residential,1054.857,240 EAST 900 NORTH,BOUNTIFUL,
Residential,692.2468,167 EAST 300 NORTH,BOUNTIFUL,
Residential,1318.585,135 EAST 550 NORTH,BOUNTIFUL,
Residential,395.5804,1176 SOUTH BATES LANE,,
Residential,2373.455,12 NORTH 1000 EAST,BOUNTIFUL,
Residential,494.469,1176 SOUTH BATES LANE,,
Utility and Misc,791.1428,,,
Residential,2109.712,839 NORTH 600 EAST,BOUNTIFUL,
Residential,3955.73,668 EAST 350 NORTH,BOUNTIFUL,
Residential,2521.809,567 NORTH 800 WEST,WEST BOUNTIFUL,
Commercial,1038.383,510 WEST 550 NORTH,WEST BOUNTIFUL,
Utility and Misc,791.1463,,,
Residential,1928.407,1013 EAST CENTER STREET,BOUNTIFUL,
Utility and Misc,1186.746,,,
Utility and Misc,988.9332,,,
Utility and Misc,527.4224,,,
Residential,1186.736,832 NORTH 800 EAST,BOUNTIFUL,
Residential,2637.157,470 EAST 350 NORTH,BOUNTIFUL,
Residential,2769.009,427 EAST 550 NORTH,BOUNTIFUL,
Commercial,1582.291,57 NORTH 100 WEST,BOUNTIFUL,
Residential,527.4323,578 NORTH 660 WEST,WEST BOUNTIFUL,
Residential,543.9095,831 NORTH 1100 WEST,WEST BOUNTIFUL,
Residential,2109.716,235 EAST 300 NORTH,BOUNTIFUL,
Residential,9114.621,424 WEST CENTER STREET,BOUNTIFUL,
Commercial,1054.863,340 NORTH 500 WEST,BOUNTIFUL,
Residential,3082.174,1008 WEST 600 NORTH,WEST BOUNTIFUL,
Residential,791.1469,830 NORTH 400 EAST,BOUNTIFUL,
Commercial,3856.854,314 WEST CENTER STREET,BOUNTIFUL,
Residential,6774.193,115 EAST 800 NORTH,BOUNTIFUL,
Residential,2966.793,333 NORTH 450 EAST,BOUNTIFUL,
Residential,1054.86,175 EAST 550 NORTH,BOUNTIFUL,
Residential,1186.717,56 NORTH 100 EAST,BOUNTIFUL,
Residential,2241.584,1030 WEST 600 NORTH,WEST BOUNTIFUL,
Residential,4071.086,756 NORTH JESSI S MEADOW DRIVE,WEST BOUNTIFUL,
Residential,1335.065,129 WEST 100 NORTH,BOUNTIFUL,
Residential,2966.815,1078 WEST 600 NORTH,WEST BOUNTIFUL,
Commercial,4005.202,830 NORTH 500 WEST,BOUNTIFUL,
Residential,890.0414,341 EAST 300 NORTH,BOUNTIFUL,
Residential,2472.333,584 NORTH 870 WEST,WEST BOUNTIFUL,
Residential,1714.159,1025 EAST CENTER STREET,BOUNTIFUL,
Residential,593.3682,117 EAST 550 NORTH,BOUNTIFUL,
Residential,2637.14,1020 EAST 900 NORTH,BOUNTIFUL,
Residential,1582.292,1133 EAST CENTER STREET,BOUNTIFUL,
Agriculture,3065.704,,,
Commercial,1038.381,315 NORTH 200 WEST,BOUNTIFUL,
Commercial,8339.987,365 NORTH 500 WEST,WEST BOUNTIFUL,
Residential,3164.596,585 NORTH 870 WEST,WEST BOUNTIFUL,
Industrial,922.982,,,
Residential,2109.728,195 EAST 550 NORTH,BOUNTIFUL,
